recommendation,type,area,message,action
Attendance_Critical,critical,Attendance,"Your attendance rate is critically low. Missing classes directly impacts your understanding of core subjects.","Aim to attend all upcoming classes. Catch up on missed notes immediately."
Attendance_Warning,warning,Attendance,"Your attendance is moderate. Regular attendance is crucial for academic stability.","Try to minimize unnecessary absences to ensure you do not miss important topics."
Attendance_Success,success,Attendance,"Excellent attendance record! This forms a strong foundation for your academic success.","Keep up the great attendance! Use class time to actively participate."
StudyHours_Critical,critical,Study Hours,"You are studying below the recommended minimum for solid academic progress.","Increase your self-study time by at least 30-45 minutes each day. Create a structured timetable."
StudyHours_Success,success,Study Hours,"You have a strong commitment to studying.","Maintain your current study routine, but ensure you take adequate breaks to avoid burnout."
ScreenTime_Critical,critical,Screen Time,"High daily screen time can cause cognitive fatigue, reduce focus, and heavily cut into study time.","Implement a strict limit on non-academic screen time. Use app blockers."
ScreenTime_Warning,warning,Screen Time,"Your screen time is moderately high. This might be a subtle distraction.","Try to reduce screen time by 30-60 minutes daily and substitute it with light reading."
Consistency_Warning,warning,Consistency,"When you study irregularly or cram at the last minute, your brain struggles to store information.","Use the Pomodoro Technique (study for 25 mins, break for 5 mins) and set a Non-Negotiable Daily Study Time."
Consistency_Success,success,Consistency,"You have excellent study consistency, which is the best scientifically-proven way to retain information.","Keep up your regular study rhythm! Consistency is your strongest asset."
Marks_Critical,critical,Academic Performance,"Your average marks indicate you are struggling significantly with the current curriculum.","Urgently seek tutoring or remedial classes. Focus on fundamentally understanding core concepts."
Marks_Success,success,Academic Performance,"Your average marks reflect excellent academic performance and strong comprehension.","Keep up the excellent work! Consider taking on more challenging topics."
Combo_LowStudy_LowConsistency,critical,Learning Habit,"Both your study hours and consistency are critically low. This combination drastically increases the risk of falling behind.","Start with a micro-habit: Commit to just 30 minutes of study at the exact same time every single day to build momentum."
Combo_HighStudy_LowMarks,warning,Study Technique,"You are putting in the hours, but your marks remain low. Your current study method is likely ineffective.","Switch from passive reading to active recall and past paper practice. Ask your teacher for strategy advice."
Combo_HighScreen_LowHomework,critical,Time Management,"Your high screen time appears to be directly interfering with your homework completion.","Enforce a rule: Homework must be 100% completed before any leisure screen time begins."
General_Balanced,info,General Advice,"Your metrics look balanced across the board.","Maintain your current routines and continue striving for incremental improvements in your daily habits."
